Product_ID,Product_Category,Product_Type,Brand_Name,Product_Name,Product_Details,Benefits
1001001,FACE,FOUNDATION,MAX FACTOR,FACEFINITY ALL DAY FLAWLESS 3 IN 1 VEGAN FOUNDATION,"For a flawless, long-lasting look, there's Max Factor Facefinity All Day Flawless Foundation now with Climate Proof Protection. This 3-in-1 liquid combines a primer, concealer and foundation for up to 30 hours of wear. The lightweight & breathable vegan formula conceals redness and covers imperfections. This soft-focus, airbrushed finish foundation has climate-proof protection; waterproof, heat-proof and humidity-proof. It has SPF20 protection from damaging UVA & UVB rays, while also protecting against external agressors such asblue light and pollution. 

The smooth base holds makeup in place while the concealer covers imperfection and dark circles. The flexi-hold technology moves with your skin for a flawless, lasting finish that is transfer-proof. With 3 types of oil-absorbing powders, it perfectly glides onto and fuses with skin for quick application and a long lasting matte finish. It's available in 33 shades, with a range of undertones to help you find the perfect match for your complexion.

• 3-in-1 primer, concealer & foundation that gives an airbrushed finish
• New advanced formula is water-proof, humidity-proof and climate-proof
• SPF20 helps protect skin from the sun's damaging UVA & UVB rays, alongside blue light
• The long-lasting formula provides full coverage
• Transfer-proof, touch-proof and shine-proof with 3 types of oil absorbing powders
• Available in 33 shades to match every skin tone
• Up to 30 hours of natural looking wear
• Completely Vegan","It’s a 3-in-1 foundation with a built-in primer and concealer
Flexi-hold technology gives a flawless finish that lasts all day
It delivers 24-hour touch-proof and shine-proof wear
The foundation provides a matte finish with medium to full coverage
Its formula is oil-free and features SPF 20"
1001002,FACE,FOUNDATION,MAX FACTOR,MIRACLE PURE SKIN IMPROVING FOUNDATION,"Believe in miracles! Inspired by skincare, mastered by Max Factor, the new Miracle Pure Foundation is clinically proven to care for skin while you wear it. In just one minute and with just a drop it plumps your skin, letting your complexion benefit in five ways, with improved radiance, firmness, elasticity, density, and suppleness. The advanced formula is infused with 89% skin-care ingredients including, Vitamin C and Hyaluronic Acid, and provides 24 hours hydration.","It’s a skin-improving foundation that conceals and cares
The advanced formula is clinically proven to give 24 hours hydration
With 89% skincare ingredients including vitamin C and hyaluronic acid
Medium, buildable coverage with SPF 30
Activator blends skincare and foundation before use"
1001003,FACE,FOUNDATION,MAX FACTOR,FACEFINITY COMPACT FOUNDATION,"A foundation that offers full coverage but doesn’t feel heavy on the skin? The Facefinity Compact Foundation is just that. Perfect for on-the-go touch-ups, it’s lightweight with a moisturising formula that contains SPF20 to hydrate your skin all day long. 

Make-Up Artist Tip: “To choose your perfect shade, match the foundation with the skin tone of your jawline. To ensure even coverage, use a compact sponge and apply the foundation to the centre of your face, blending outwards. Go over with a foundation brush for a flawless finish.”","Shine control
Long lasting matte finish
Lightweight formula
SPF 20"
1001004,FACE,FOUNDATION,MAX FACTOR,MIRACLE TOUCH FOUNDATION,"Want instant radiance? Show your glow with the best full coverage foundation. Miracle Touch Foundation's cream-to-liquid formula ticks all your base boxes. It's super-hydrating, lightweight and brightening on skin, while reducing redness and gliding over pores and imperfections.","Solid-to-liquid compact foundation
Contains hydrating hyaluronic acid
Non-comedogenic"
1002001,FACE,FACE POWDER,MAX FACTOR,MAX FACTOR CRÈME PUFF POWDER COMPACT,"Max Factor Crème Puff Powder Compact is a medium to high coverage pressed powder with a flawless matte finish. It’s an all-in-one makeup that can perfectly even skin tone for an instantly radiant complexion. And our iconic puff is now back! The ultra-soft, premium applicator allows for smooth and easy application.","Even & instantly radiant skin
Light-reflecting particles give a soft, subtle glow
Proven skin compatibility, works for all skin types
Medium to high coverage with superfine matte finish
Formula absorbs excess oils"
1003001,FACE,CONCEALER,MAX FACTOR,FACEFINITY ALL DAY FLAWLESS CONCEALER,"Whether you’re looking for a concealer which covers dark circles, want to conceal stubborn blemishes or glide over uneven skin tone, Facefinity All Day Flawless Concealer is your go-to, now available with up to 30 hours of wear that is transfer-proof. The breathable and lightweight concealer is made with a vegan formula that conceals pores and redness and covers imperfections, delivering medium to full coverage that blends very well. The soft-focus, airbrushed matte finish is climate-proof; waterproof, heat-proof, humidity-proof and sweat-proof. Available in 8 shades for the perfect match, this Max Factor concealer also boasts antioxidant properties and protects skin from blue light.","It's a liquid concealer with medium to full coverage for up to 30 hours of amazing coverage
Easy-to-blend, vegan formula glides onto skin, delivering a flawless, airbrushed finish
This formula is climate-proof; waterproof, heat-proof, humidity-proof and sweat-proof
The formula protects skin from blue light with antioxidant properties
Illuminating concealer for dark circles works wonders to cover up imperfections and pores"
1003002,FACE,CONCEALER,MAX FACTOR,MIRACLE PURE CONCEALER,"Believe in miracles! Inspired by skincare, mastered by Max Factor, new Miracle Pure Concealer is clinically proven to care for skin while you wear it. The lightweight formula contains hyaluronic acid, vitamin C and peptides. It gives medium, natural coverage and works perfectly on the face and under the eyes, providing crease-less, all day gentle coverage – illuminating, brightening and giving 24-hydration. Clinically and dermatologically tested, suitable for sensitive skin; with a super soft flexible and precise applicator. Available in 8 shades and designed to work in harmony with Max Factor’s Miracle Pure foundation.","It’s a skin-improving concealer that cares for skin as you wear it
The radiant lightweight formula gives 24 hours hydration
With antioxidants, vitamin C, hyaluronic acid & peptides
Crease-proof, cake-proof natural coverage for a luminous finish that lasts
100% vegan; made with recycled materials"
1003003,FACE,CONCEALER,MAX FACTOR,RADIANT LIFT CONCEALER,"Wake up tired eyes with Radiant Lift Concealer. This long-lasting, light-diffusing, liquid concealer does the hard work for you to lift and disguise dark circles instantly. Enriched with vitamins and light-reflecting pigments, skin will appear glowing and lit-from-within, no matter how many hours sleep you might have had...","Vitamin-enriched formula
Easy-to-blend liquid concealer
Disguises dark circles and lifts complexion
Radiant finish"
1003004,FACE,CONCEALER,MAX FACTOR,MASTERTOUCH CONCEALER,"Looking for a concealer for dark circles, pigmentation and blemishes? Mastertouch Concealer has got you covered, with a smooth, easy-to-blend, light-diffusing formula and a soft sponge-tipped applicator. Apply liquid concealer seamlessly onto skin with the non-comedogenic formula, housed in a handbag-friendly portable pen. It's perfect for touch-ups on the go...","Easy-to-blend liquid concealer
Non-comedogenic formula
Dermatologically tested
Precision sponge tip"
1004001,FACE,CONTOUR,MAX FACTOR,MIRACLE CONTOURING PALETTE,"High definition, minimum effort. Contour in 3 easy steps. Miracle Contouring Palette is a 8-shade palette, designed by Max Factor make-up artists to suit every skin tone. Creamy soft texture allows for a quick and easy contouring look as formula is easily blendable and buildable.","High definition, minimum effort
Easy blending buildable formula
Natural and beautifully blended contouring"
1004002,FACE,CONTOUR,MAX FACTOR,MIRACLE GLOW DUO,"Reveal a sculpted glow with Miracle Glow Duo Pro Illuminator; the cream highlighter palette that adds next-level radiance in a few taps. Use the matte highlighter to perfect skin and disguise tired under-eyes, then dial up your glow with the shimmer highlighter, tapping over cheekbones, brow bones, the bridge of the nose and the cupid's bow. 
 
The smooth, easy-to-blend texture makes this creamy highlight appear ultra natural-looking, giving skin a lit-from-within effect that pairs perfectly with a dewy foundation. Customise your glow with Miracle Glow Duo Pro Illuminator, whether you're going for a sheer, matte highlight or a touch of soft-focus shimmer. 
 
•	Cream highlighter palette, featuring matte and shimmer illuminators
•	Smooth, creamy, easy-to-blend formula
•	Apply to tops of cheekbones, brow bones, the cupid's bow and the bridge of the nose

Looking for more glow-boosting tips? Read our guide on how to apply highlighter.","Lightweight formula
Designed to suit virtually every skin tone
Creamy texture"
1005001,FACE,BLUSHER,MAX FACTOR,MIRACLE PURE CREAM BLUSH,"Get a flush of colour infused with care! Max Factor’s Miracle Pure Cream Blush contains a moisturizing complex that plumps and hydrates while adding a buildable glow to your complexion. Infused with hyaluronic acid and squalane, the formula has a lightweight, creamy and silky texture that transforms skin, giving a day-long glow that also leaves the skin looking fresh and healthy. Available in 4 luminous shades to suit all skin tones.","It’s a skin-improving blush that plumps and hydrates skin as you wear it
Highly pigmented vivid shades that give you healthy, glowing skin
Creamy and non-sticky formula allows for effortless blending
Radiant lightweight formula gives 24 hours hydration
100% vegan; Enriched with hyaluronic acid & squalane"
1005002,FACE,BLUSHER,MAX FACTOR,MIRACLE TOUCH CREAMY BLUSH,"The answer to a fresh-faced, healthy glow? Miracle Touch Creamy Blush. The finishing touch in your go-to base routine, dot and blend this complexion-boosting blusher cream onto apples of cheeks for instant, natural-looking radiance. Dull skin is no match for this lustrous, sheer cream blush. 

Warm the solid blush formula between fingertips to transform to a sheer, easy-to-blend cream blush. The creamy, dreamy formula is light to the touch and doesn’t feel greasy on skin. Blend outwards from apples of cheeks up to cheekbones for a natural-looking flush, or tap directly onto cheeks to build colour for a bolder finish. 

•	Sheer, buildable blush cream delivers natural-looking radiance
•	Non-greasy, lightweight formula
•	Blend onto apples of cheeks outwards for an instantly healthy-looking complexion","Easy to blend into skin for a lustrous yet subtle look.
Non-greasy formula gives a natural finish for all skin types.
Stays looking fresh all day."
1006001,FACE,SERUM,MAX FACTOR,MIRACLE PURE VITAMIN C SKIN-ILLUMINATING SERUM,"Give your skin a daily boost of vitamins for an immediate healthy-looking glow with Max Factor Miracle Pure Skin-Illuminating Serum. This skin caring and improving serum has golden pearls of illuminating pigments to give skin a revitalised and brighter-looking effect. The clinically proven, vegan formula contains vitamins C and Niacinamide - B3. The multi-use serum can be used alone, under makeup, or mixed with any foundation for a skin caring boost of radiance. Inspired by nature, mastered by Max Factor.","Provides a daily boost of vitamins for hydrated, firmer-looking skin
Made with skin-loving ingredients including Vitamin C and Niacinamide (a form of Vitamin B3)
Gives an immediate healthy-looking glow, and a more even and radiant complexion over time
This multi-use serum can be used alone, underneath makeup, or mixed with any foundation
Vegan formula contains golden pearls of illuminating pigments for an immediate skin glow
The clinically proven formula is made with 95% natural origin ingredients, and comes in an FSC certified box"
1007001,EYES,BROWS,MAX FACTOR,BROW SHAPER EYEBROW PENCIL,"Creating your ultimate eyebrow makeup look is easy with Brow Shaper. The multi-tasking, double-ended eyebrow pencil features a spoolie brush, making it easy to shape, fill and define your perfect brows. Whatever your eyebrow shape, frame your face and sculpt your look for professional-looking brows at home.","Precision tip brow pencil
Blending brush comb
Three natural-looking shades"
1007002,EYES,BROWS,MAX FACTOR,BROW REVIVAL GEL,"Fluffy and boyish or smooth and sleek? Whip your brows into shape with the taming powers of Brow Revival eyebrow gel. This brow-plumping mascara contains tiny volume-building fibres to fill in gaps and instantly create a fuller brow finish. Meanwhile, the small-sized mascara brush allows for precise application, so you can catch every strand to boost fullness and depth - instantly. There are four shades to choose from to suit every brow shade and style, whether you’re looking for natural definition or a bold look. 
  
The nourishing brow gel is enriched with conditioning oils, caring for your brows while you tame and shape them. Sweep the long-wear formula through brows; it lasts up the 24 hours with a waterproof, smudge-proof finish. 
  
•	Brow-plumping, volume-building eyebrow gel
•	Nourishing formula with conditioning oils to give your brows some love
•	Sweep through eyebrows to fill and tame, delivering 24-hour wear","It lasts all day and all night and is fadeproof & smudgeproof
Helps you regain fuller looking brows.
The formula is enriched oils and fibers fills that fill the gaps
It's easy & quick to apply with mistake-proof application.
Colours, fills and tames in one stroke."
1007003,EYES,BROWS,MAX FACTOR,BROWFINITY LONGWEAR BROW TINT,"Create naturally full, defined brows that last all day with Max Factor Browfinity Longwear Brow Tint. The double-ended applicator gives hair by hair definition, while the built-in, ultra-soft brush ensures a blended look. Each shade is designed with natural-toned pigments to look like your brows, only better. For instant & natural results that lasts for days.
","Natural brow tint that lasts for days
Water-proof, Smudge-proof, Transfer-proof and Sweat- proof
For a professional-looking brow; brows look fuller and thicker
Helps to shape brows and adds definition
Fast-drying formula that feels lightweight, and has a mess-free application"
1007004,EYES,BROWS,MAX FACTOR,EYEBROW PENCIL,"Neatly defined eyebrows complete any look. Our eyebrow pencil and brush give you a perfectly groomed finish.
","Soft yet firm application
Brush applicator for a perfectly groomed eyebrow
Defines without pulling or scratching the eyebrow"
1008001,EYES,EYELINER,MAX FACTOR,MASTERPIECE WATERPROOF MATTE LIQUID EYELINER,"For ultra-precision and bold eyes in just one stroke, there's Max Factor Masterpiece Matte Liquid Eyeliner. It's a highly pigmented waterproof liquid eyeliner that provides intense colour and up to 12 hours of wear with a matte finish. From beginners to pros, this liquid eyeliner pen draws a fine line and glides on effortlessly thanks to the high-precision tip applicator. The quick drying formula ensures a mess-free application. Sweat-proof, humidity-proof, smudge-proof, flake-proof, fade-proof and transfer-proof, the vegan formula is made from a well-balanced combination of polymeric film formers and light diffusing particles to offer a deep matte finish with great staying power. Available in 4 shades for the perfect eyeliner looks.
","Highly pigmented, matte finish for ultra-precision and bold eyes in just one stroke
The life-proof formula is water resistant, smudge-proof and flake-proof and lasts up to 12 hours
The high-precision tip applicator makes application easy and is great for beginners or pros
It's available in 4 shades, so you'll always be able to create perfect graphic liner look with ease
Finish your eyeliner looks with Masterpiece 2 in 1 Lash WOW Mascara for the ultimate wow effect"
1008002,EYES,EYELINER,MAX FACTOR,MASTERPIECE HIGH PRECISION LIQUID EYELINER,"Transform your look with bold intensity. The unique paddle-shaped tip draws both a dramatic thick line and an elegant thin line, to create the precise look you want.
","Switch from thick line to thin line in a flash
Intensity of a liquid eyeliner with the precision of a pencil
Two looks from one versatile and easy to use paddle tip"
1008003,EYES,EYELINER,MAX FACTOR,KOHL PENCIL,"Ultra soft pencil - gentle on delicate eye area and easy to apply. Max Factor Kohl Pencil Eyeliner is firm enough for elegant definition, yet soft enough for a sophisticated smoky eye. This easy to blend pencil takes seconds to apply and gives you an instant shot of glamour.
","Ultra soft pencil is gentle on delicate eye area.
Firm enough to create eye-defining shape.
Smudge it for shadowing on your lids or under your lashes.
The ideal tool to create a sexy smokey eye."
1009001,EYES,EYESHADOW,MAX FACTOR,MASTERPIECE NUDE EYESHADOW PALETTE,"Max Factor Nude Palette is available in three colourful ultra-versatile and universally flattering eye contouring palettes. Each one features 8 perfectly paired shades so you can master the most glamorous nude eye look.  The perfectly combined eyeshadows range from pale to deep tones and allow you to contour your eyes in endless combinations - from a daily nude to a subtle smokey eye, the possibilities are truly infinite! The silky smooth formula is soft and velvety with more pigment for richer, more intense colour. It blends precisely due to the dual-tip applicator. It allows you to build and build to your heart's content, creating matte, shimmery or sparkly finishes.
","• Three colourful palettes offer infinite possibilities for uniquely glamorous nude eye looks.
• Range of tones, from rich to pale to neutral.
• The silky-smooth formula gives more pigment for richer, intense colour.
• Buildable eyeshadows with matte, shimmery and sparkly finishes.
• Dual-tip applicator for smooth blending and precise definition."
1009002,EYES,EYESHADOW,MAX FACTOR,PRIYANKA MASTERPIECE PALETTE,"Max Factor and Priyanka Chopra Jonas celebrate the unique beauty of every individual with an empowering new limited collection in high-impact, universal colours, designed to match all skin tones. 

For eyes with an intense colour payoff, there's Masterpiece Eyeshadow Palette. This eyeshadow palette features 8 perfectly paired universal shades in 4 finishes and textures - metallic, matte, shimmer & glitter. Ranging from neutral brown eye shadows to bright pink eye shadows, light tones to deep tones, this eye contouring make up palette with rich colours allows you to master endless looks. This easy to use eyeshadow features a silky-smooth formula which blends effortlessly and can even be applied using just your fingers. The colourful eyeshadow palette is suitable for all skin tones. From an everyday soft eyeshadow look to dramatic smokey eyeshadow makeup, the possibilities are truly endless! Reveal your extraordinary.","Perfectly paired 8 universal shades, designed to match all skin tones
Matte, shimmer, glitter and metallic eyeshadows for endless inspiration and countless different looks
Easy to use eyeshadow with a buildable and blendable formula that can be applied with your fingers
Master endless looks from an everyday nude matte eyeshadow to a dramatic smokey eye
For precise definition use the dual-tip applicator
Part of the Limited Edition - Priyanka Universal Colour Collection"
1009003,EYES,EYESHADOW,MAX FACTOR,MASTERPIECE MONO EYESHADOW,"Max Factor Masterpiece Mono Eyeshadows bring a highly pigmented shadow to sweep across your lids, providing rich, bold colour. The formula is micro-fine and can be used wet for a more intense look, is easily blendable and buildable colour for endless versatility.
","Ultra pigmented formula with rich colour pay-off
Buildable colour
Shades blend seamlessly
Fade-proof, crease-proof and long-lasting"
